side,sign,base,variant,status,base_total_attestations,base_secure_attestations,variant_total_attestations,variant_secure_attestations,secure_sites,secure_scribes
suffix,KU,DA-RE,DA-RE-KU,excluded_insecure_variant,7,6,1,0,3,2
suffix,MA,JA-SA-SA-RA,JA-SA-SA-RA-MA,accepted_secure,1,1,1,1,2,0
suffix,ME,A-RA-TU,A-RA-TU-ME,accepted_secure,1,1,1,1,2,0
suffix,ME,A-SA-SA-RA,A-SA-SA-RA-ME,excluded_insecure_both,1,0,1,0,0,0
suffix,ME,I-JA-PA,I-JA-PA-ME,excluded_insecure_base,1,0,1,1,1,1
suffix,ME,JA-SA-SA-RA,JA-SA-SA-RA-ME,accepted_secure,1,1,7,7,5,1
suffix,ME,MA-RU,MA-RU-ME,accepted_secure,1,1,3,3,1,1
suffix,ME,SA-RA,SA-RA-ME,accepted_secure,2,2,1,1,3,0
suffix,MI,I-DA,I-DA-MI,accepted_secure,5,2,1,1,3,1
suffix,MI,JA-RE,JA-RE-MI,accepted_secure,1,1,1,1,2,2
suffix,MI,MA-I,MA-I-MI,excluded_insecure_base,1,0,1,1,1,1
suffix,MU,JA-SA,JA-SA-MU,accepted_secure,4,2,1,1,3,1
suffix,MU,KU-RA,KU-RA-MU,accepted_secure,2,2,1,1,3,3
suffix,NA,*118-MI,*118-MI-NA,excluded_insecure_both,1,0,1,0,0,0
suffix,NA,A-TA,A-TA-NA,excluded_insecure_both,1,0,1,0,0,0
suffix,NA,DA-KU,DA-KU-NA,accepted_secure,1,1,1,1,2,1
suffix,NA,NE-MI,NE-MI-NA,excluded_insecure_both,1,0,1,0,0,0
suffix,NA,PA3-NI,PA3-NI-NA,accepted_secure,2,2,3,3,1,2
suffix,NA,U-NA-KA,U-NA-KA-NA,excluded_insecure_both,1,0,1,0,0,0
suffix,NE,*21F-TU,*21F-TU-NE,accepted_secure,1,1,3,3,1,2
suffix,NE,PA-RA,PA-RA-NE,accepted_secure,2,2,2,2,2,2
suffix,NE,PA-TA,PA-TA-NE,excluded_insecure_base,1,0,3,3,1,1
suffix,NE,QE-TU,QE-TU-NE,excluded_insecure_base,1,0,1,1,1,1
suffix,NI,MI-DA,MI-DA-NI,excluded_insecure_base,1,0,1,1,1,1
suffix,NU,KU-PA3,KU-PA3-NU,accepted_secure,1,1,8,8,2,4
suffix,NU,U-TI,U-TI-NU,excluded_insecure_variant,1,1,1,0,1,0
suffix,PA,A-RI,A-RI-PA,accepted_secure,3,2,1,1,2,0
suffix,PA,I-JA,I-JA-PA,excluded_insecure_variant,2,1,1,0,1,0
suffix,PA,KA-KU,KA-KU-PA,accepted_secure,1,1,3,3,1,2
suffix,PA3,JA-KI,JA-KI-PA3,excluded_insecure_base,1,0,1,1,1,0
suffix,PA3,JA-WA,JA-WA-PA3,excluded_insecure_base,1,0,1,1,1,0
suffix,PA3,KU-PA3,KU-PA3-PA3,accepted_secure,1,1,1,1,1,2
suffix,PI,JA-WA,JA-WA-PI,excluded_insecure_base,1,0,1,1,1,0
suffix,PU2,TU-SU,TU-SU-PU2,accepted_secure,1,1,1,1,2,0
suffix,QA,JA-PA,JA-PA-QA,excluded_insecure_variant,1,1,1,0,1,1
suffix,QE,KA-PA,KA-PA-QE,accepted_secure,6,5,1,1,1,4
suffix,QE,SA-RO,SA-RO-QE,accepted_secure,4,4,1,1,1,1
suffix,RA,A-DA,A-DA-RA,accepted_secure,1,1,1,1,2,0
suffix,RA,A-RU,A-RU-RA,excluded_insecure_variant,2,2,1,0,1,0
suffix,RA,I-KI,I-KI-RA,excluded_insecure_both,1,0,1,0,0,0
suffix,RA,JA-SA-SA,JA-SA-SA-RA,excluded_insecure_base,1,0,1,1,1,0
suffix,RA,MI-DA,MI-DA-RA,excluded_insecure_base,1,0,1,1,1,0
suffix,RA,SA-RA,SA-RA-RA,accepted_secure,2,2,1,1,2,1
suffix,RE,A-DU,A-DU-RE,excluded_insecure_variant,10,7,1,0,1,5
suffix,RE,A-TA,A-TA-RE,excluded_insecure_base,1,0,1,1,1,1
suffix,RE,DU-RA,DU-RA-RE,excluded_insecure_base,1,0,1,1,1,0
suffix,RE,KI-*310,KI-*310-RE,excluded_insecure_base,1,0,1,1,1,0
suffix,RE,PA-JA,PA-JA-RE,accepted_secure,1,1,4,4,2,4
suffix,RE,TE-JA,TE-JA-RE,excluded_insecure_base,1,0,1,1,1,1
suffix,RI,KU-PA,KU-PA-RI,accepted_secure,4,3,1,1,3,1
suffix,RI,TU-PA,TU-PA-RI,excluded_insecure_base,1,0,1,1,1,0
suffix,RO,A-DA,A-DA-RO,accepted_secure,1,1,1,1,2,0
suffix,RO,DI-NA,DI-NA-RO,accepted_secure,2,1,1,1,2,1
suffix,RO,KI-DA,KI-DA-RO,excluded_insecure_base,1,0,2,1,1,1
suffix,RO,SA-MA,SA-MA-RO,accepted_secure,4,4,1,1,2,3
suffix,RU,DI-DE,DI-DE-RU,accepted_secure,1,1,3,3,1,1
suffix,RU,KA-SA,KA-SA-RU,excluded_insecure_base,1,0,1,1,1,0
suffix,SA,A-JE,A-JE-SA,accepted_secure,1,1,1,1,2,0
suffix,SA,JA-SA,JA-SA-SA,excluded_insecure_variant,4,2,1,0,2,0
suffix,SA,QA-*118,QA-*118-SA,accepted_secure,1,1,1,1,2,1
suffix,SE,*188-DU,*188-DU-SE,excluded_insecure_variant,3,3,1,0,1,2
suffix,SE,DI-KI,DI-KI-SE,excluded_insecure_base,1,0,2,2,1,1
suffix,SE,DU-RE-ZA,DU-RE-ZA-SE,excluded_insecure_base,1,0,3,2,1,1
suffix,SE,RU-MA-TA,RU-MA-TA-SE,accepted_secure,2,2,1,1,2,2
suffix,SE,TU-ME,TU-ME-SE,accepted_secure,1,1,1,1,2,1
suffix,SI,U-NA-KA-NA,U-NA-KA-NA-SI,excluded_insecure_base,1,0,4,4,3,0
suffix,SU,A-RI,A-RI-SU,accepted_secure,3,2,1,1,2,1
suffix,SU,KU-NI,KU-NI-SU,accepted_secure,1,1,5,5,1,1
suffix,TA,A-MI,A-MI-TA,accepted_secure,2,1,1,1,2,1
suffix,TA,KI-DA,KI-DA-TA,excluded_insecure_base,1,0,1,1,1,1
suffix,TA,RU-MA,RU-MA-TA,excluded_insecure_base,1,0,2,2,1,1
suffix,TA,SE-SI,SE-SI-TA,excluded_insecure_variant,1,1,1,0,1,0
suffix,TA,TI-NI,TI-NI-TA,excluded_insecure_base,1,0,1,1,1,1
suffix,TE,A-DI-KI-TE,A-DI-KI-TE-TE,excluded_insecure_both,1,0,1,0,0,0
suffix,TE,A-TA-NA,A-TA-NA-TE,excluded_insecure_base,1,0,1,1,1,1
suffix,TE,DU-RI,DU-RI-TE,accepted_secure,1,1,1,1,2,0
suffix,TE,I-JA,I-JA-TE,accepted_secure,2,1,1,1,2,0
suffix,TE,KU-NI,KU-NI-TE,accepted_secure,1,1,1,1,2,0
suffix,TE,SI-RU,SI-RU-TE,accepted_secure,2,1,7,6,5,0
