commentary_id,form,table_occurrences,left_insecure_occurrences,right_insecure_occurrences,any_insecure_occurrences,source_files,evidence
HT86,DI-DE,1,1,1,1,HT86.html,[[SA-RU 20 ]] B.3 [[DI-DE]] .1 [[ VACANT ]]
HT86,KU-NI-SU,2,1,0,1,HT86.html,-KA-RU • ]] B.1-2 [[KU-NI-SU GRA+K+L2 {*584} 20 
HT86,SA-RU,2,1,0,1,HT86.html, {*584} 20 ]] B.2 [[SA-RU 20 ]] B.3 [[DI-DE]]
HT87,A-RA,1,0,1,1,HT87.html, 1 .4 KU-RU-KU 1 .5 A-RA-[•]-A-TU 1
HT87,A-TU,1,1,0,1,HT87.html,RU-KU 1 .5 A-RA-[•]-A-TU 1
HT9,WA-JA-PI,1,0,1,1,HT9.html, J E B.1 PA 3 • B.1 WA-JA-PI-[ ] _______________
HT93,KI-RO,1,0,1,1,HT93.html, 4 B.1 ] 1 65 H B.1 KI-RO[ B.2 ] VACAT B.3-9 
HT93,NI-NA,2,0,1,1,HT93.html,A.7 *343 2 A.8 PA 3-NI-NA[ A.8 ] PA-SE-JA 20 
HT93,O-TI,1,0,1,1,HT93.html, DE-JU-KU 1 J A.6-7 O-TI-[•] 3 A.7 DA-RI-DA 
HT93,PA-SE-JA,1,1,0,1,HT93.html,8 PA 3-NI-NA[ A.8 ] PA-SE-JA 20 A.9 VIR 10 F[ A.
HT94,DE-ME-TE,1,1,0,1,HT94.html,.4 *86 • B.4 RA-[•]-DE-ME-TE 1 B.5 QI F-TU-[•] 1
HT94,F-TU,1,0,1,1,HT94.html,]-DE-ME-TE 1 B.5 QI F-TU-[•] 1 B.6 VACAT
HT96,KU-MA-RO,1,1,0,1,HT96.html,______________ A.5 ]KU-MA-RO • • TE FIC 20 A.6 ]
HTWa1074,WINGS-TAIL,1,0,1,1,HTWa1074.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
