stem,depth,terminal,form,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,containment_count,containment_examples
O-SU,2,QA-RE,O-SU-QA-RE,1,1,TROULLOS,0,,STONE VESSEL,,,,0,
O-TA-NI,2,ZA-SE,O-TA-NI-ZA-SE,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,0,
PA-DA,2,SU-TI,PA-DA-SU-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,,,0,
PA-SA,2,RI-JA,PA-SA-RI-JA,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
PA-TA-DA-DU,2,PU2-RE,PA-TA-DA-DU-PU2-RE,1,1,HAGHIA TRIADA,0,,CLAY VESSEL,,,,0,
PA3-KA,2,RA-TI,PA3-KA-RA-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,0,
PI-MI-TA,2,TI-RA2,PI-MI-TA-TI-RA2,1,1,TROY,0,,STONE OBJECT,,,,0,
PI-RU,2,E-JU,PI-RU-E-JU,1,1,PHAISTOS,0,,TABLET,,,,0,
PI-TA,2,KA-SE,PI-TA-KA-SE,1,1,HAGHIA TRIADA,1,HT SCRIBE 22,TABLET,,,,0,
PI-TA,2,KE-SI,PI-TA-KE-SI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
PO-TO,2,KU-RO,PO-TO-KU-RO,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
PU-NI,2,KA-*363,PU-NI-KA-*363,1,1,ZAKROS,0,,TABLET,,,,0,
QA-*118,2,RA-RE,QA-*118-RA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
QA-KI-SE,2,NU-TI,QA-KI-SE-NU-TI,1,1,CRETE,0,,METAL OBJECT,,,,0,
QA-MI-*47,2,NA-RA,QA-MI-*47-NA-RA,1,1,KNOSSOS,0,,METAL OBJECT,,,,0,
QA-SA,2,RA-KU,QA-SA-RA-KU,1,1,SYME,0,,STONE VESSEL,,,,0,
QA-TI,2,DA-TE,QA-TI-DA-TE,1,1,HAGHIA TRIADA,1,HT SCRIBE 11,TABLET,,,,0,
QE-DE,2,MI-NU,QE-DE-MI-NU,2,1,MALIA,0,,3-SIDED BAR,,,,0,
QE-SI,2,ZU-E,QE-SI-ZU-E,2,1,ZAKROS,2,ZA SCRIBE 1|ZA SCRIBE 5,TABLET,,,,0,
QE-TI,2,RA-DU,QE-TI-RA-DU,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
RA-KI,2,NI-SE,RA-KI-NI-SE,1,1,SYME,0,,CLAY VESSEL,,,,0,
RA-NA,2,TU-SU,RA-NA-TU-SU,1,1,PALAIKASTRO,0,,TABLET,,,,0,
RA-O,2,DI-KI,RA-O-DI-KI,1,1,PHAISTOS,0,,TABLET,,,,0,
RI-QE-TI-A-SA-SA,2,RA-*325,RI-QE-TI-A-SA-SA-RA-*325,1,1,POROS HERAKLEIOU,0,,INKED INSCRIPTION,,,,0,
RI-RU,2,MA-TI,RI-RU-MA-TI,1,1,PHAISTOS,0,,TABLET,,,,0,
RI-TA-MA,2,NU-WI,RI-TA-MA-NU-WI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
