side,sign,base,variant,status,base_total_attestations,base_secure_attestations,variant_total_attestations,variant_secure_attestations,secure_sites,secure_scribes,warning_classes,exclusion_classes
suffix,SI,U-NA-KA-NA,U-NA-KA-NA-SI,excluded_structural_base,1,0,4,4,3,0,,physical_boundary
suffix,SU,A-RI,A-RI-SU,accepted_secure,3,2,1,1,2,1,,physical_boundary
suffix,SU,KU-NI,KU-NI-SU,excluded_structural_base,1,0,5,4,1,1,,physical_boundary
suffix,TA,A-MI,A-MI-TA,accepted_secure,2,1,1,1,2,1,,physical_boundary
suffix,TA,KI-DA,KI-DA-TA,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,TA,RU-MA,RU-MA-TA,excluded_structural_base,1,0,2,2,1,1,,physical_boundary
suffix,TA,SE-SI,SE-SI-TA,excluded_structural_variant,1,1,1,0,1,0,,physical_boundary
suffix,TA,TI-NI,TI-NI-TA,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,TE,A-DI-KI-TE,A-DI-KI-TE-TE,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,TE,A-TA-NA,A-TA-NA-TE,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,TE,DU-RI,DU-RI-TE,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,TE,I-JA,I-JA-TE,accepted_secure,2,1,1,1,2,0,,physical_boundary
suffix,TE,KU-NI,KU-NI-TE,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,TE,SI-RU,SI-RU-TE,accepted_secure,2,1,7,6,5,0,,physical_boundary
suffix,TI,DA-KU-SE-NE,DA-KU-SE-NE-TI,accepted_secure,2,1,1,1,1,2,,physical_boundary
suffix,TI,JA-KU,JA-KU-TI,accepted_secure,1,1,1,1,2,0,,
suffix,TI,QA-KI,QA-KI-TI,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,TI,RI-RU-MA,RI-RU-MA-TI,accepted_secure,1,1,1,1,2,1,,
suffix,TI,SA-MA,SA-MA-TI,excluded_structural_variant,4,4,1,0,2,2,,physical_boundary
suffix,TU,A-RA,A-RA-TU,excluded_structural_base,3,0,1,1,1,0,,physical_boundary
suffix,TU,SI-TE,SI-TE-TU,accepted_secure,2,2,1,1,2,1,,
suffix,U,DI-NA,DI-NA-U,excluded_structural_base,2,0,6,5,2,1,,physical_boundary
suffix,WA,I-NA,I-NA-WA,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,WI,JA-DI,JA-DI-WI,excluded_structural_variant,1,1,1,0,1,0,,segmented_fragment_flattening
suffix,WI,PA3-NI,PA3-NI-WI,accepted_secure,2,2,1,1,2,2,,
suffix,ZA,A-DU,A-DU-ZA,accepted_secure,10,7,1,1,2,5,,physical_boundary
suffix,ZU,KU-PA,KU-PA-ZU,accepted_secure,4,3,1,1,3,2,,physical_boundary
