commentary_id,form,exclude_count,boundary_insecure_count,continuation_fragment_count,complex_logogram_count,cross_script_count,source_override_count,reason_classes,evidence_text
HT111,QA-SA,1,1,0,0,0,0,physical_boundary,A.2 ]QE-KA 8 A.2 QA-SA-[ A.3 ] QA-QA-RU
HT111,QE-KA,1,1,0,0,0,0,physical_boundary,.1 ] VEST. [ A.2 ]QE-KA 8 A.2 QA-SA-[ A.3
HT112,TU-PA,1,1,0,0,0,0,physical_boundary,A.1 OVIS F [ A.2 ]TU-PA-[ A.3 ] VEST. [ I
HT113,RA-RI-DE,1,1,0,0,0,0,physical_boundary,UMBER FRACTION .1 RA-RI-DE[ .2-3 ]WI-SA • [
HT113,WI-SA,1,1,0,0,0,0,physical_boundary,1 RA-RI-DE[ .2-3 ]WI-SA • [ ] 2 [ ] .3 O
HT114,SA-VINA,1,0,0,1,0,0,complex_logogram,SA VINA {*522}
HT115,*301-U-RA,1,1,0,0,0,0,physical_boundary,MA-NU-WI 2 A.2 [[ *301-U-RA]] A.2-3 NA-QI F-N
HT115,A-I,1,1,0,0,0,0,physical_boundary,*306-TU-JA 1 B.4 A-I-[••] 1 B.4 *634 {
HT115,GRA-*22M,1,0,0,1,0,0,complex_logogram,• I • GRA+*22M {*576}
HT115,KU-TA,1,1,0,0,0,0,physical_boundary,{* 306 +MI} 1 B.4 KU-TA[ B.5-8 VACANT
HT115,RI-SU-MA,1,1,0,0,0,0,physical_boundary,KA-PO-RU 1 A.6 [[RI-SU-MA [ VEST. ]] A.7 [[
HT12,*303-E,1,0,0,1,0,0,complex_logogram,*303+E {*626}
HT12,MA-RU,1,0,0,1,0,0,complex_logogram,MA+RU {*559} • *118 {TALENT}
HT12,OLE-DI,1,0,0,1,0,0,complex_logogram,OLE+DI {*608}
HT12,QA-PU,1,0,0,1,0,0,complex_logogram,QA +[?]+PU {*510}
HT12,QA-PU-RE,1,0,0,1,0,0,complex_logogram,QA +[?]+PU+RE {*511}
HT120,GRA-B,1,0,0,1,0,0,complex_logogram,GRA+B {*580}
HT120,GRA-K-L2,1,0,0,1,0,0,complex_logogram,GRA+K+L2 {*584}
HT120,GRA-PA,2,0,0,2,0,0,complex_logogram,GRA+PA {*574}
HT120,I-GRA-PA,1,0,0,1,0,0,complex_logogram,• I GRA+PA {*574}
HT121,OLE-QE-DI,1,0,0,1,0,0,complex_logogram,OLE+QE+DI {*623}
HT122,*306-KI-TA,1,1,0,0,0,0,physical_boundary,*346 • VIR[ B.2 ]*306-KI-TA 2 7 [ B.3 ]A-RA-J
HT122,A-RA-JU-U-DE-ZA,1,1,0,0,0,0,physical_boundary,-KI-TA 2 7 [ B.3 ]A-RA-JU-U-DE-ZA 2 B.3-4 QA-QA-RU
HT122,RA-RI,1,1,0,0,0,0,physical_boundary,BER FRACTION A.1 ]RA-RI • U-DE-ZA 2 [ A.2
HT123,KA-NA,1,1,0,0,0,0,physical_boundary,PA-DI-DA J L2 B.4 KA-NA [ B.4-5 ]SI-DU A
HT123,KI-RO,1,1,0,0,0,0,physical_boundary,IV 16 *308 4 A [ ]KI-RO J E A.6-7 DA-TU O
HT123,KU-RO,1,1,0,0,0,0,physical_boundary,J *308[[•]] A.8-9 KU-RO [ ] 2 5 H KI-RO 6
HT123,SI-DU,1,1,0,0,0,0,physical_boundary,.4 KA-NA [ B.4-5 ]SI-DU A B.5 DU-MA-I-NA
HT123+124,KA-NA,1,1,0,0,0,0,physical_boundary,PA-DI-DA J L2 B.4 KA-NA [ B.4-5 ]SI-DU A
HT123+124,KI-RO,1,1,0,0,0,0,physical_boundary,IV 16 *308 4 A [ ]KI-RO J E A.6-7 DA-TU O
HT123+124,KU-RO,1,1,0,0,0,0,physical_boundary,J *308[[•]] A.8-9 KU-RO [ ] 2 5 H KI-RO 6
HT123+124,SI-DU,1,1,0,0,0,0,physical_boundary,.4 KA-NA [ B.4-5 ]SI-DU A B.5 DU-MA-I-NA
HT124,KA-NA,1,1,0,0,0,0,physical_boundary,PA-DI-DA J L2 B.4 KA-NA [ B.4-5 ]SI-DU A
HT124,KI-RO,1,1,0,0,0,0,physical_boundary,IV 16 *308 4 A [ ]KI-RO J E A.6-7 DA-TU O
HT124,KU-RO,1,1,0,0,0,0,physical_boundary,J *308[[•]] A.8-9 KU-RO [ ] 2 5 H KI-RO 6
HT124,SI-DU,1,1,0,0,0,0,physical_boundary,.4 KA-NA [ B.4-5 ]SI-DU A B.5 DU-MA-I-NA
HT125,GRA-F,1,0,0,1,0,0,complex_logogram,GRA+F {*582}
HT125,GRA-PA,1,0,0,1,0,0,complex_logogram,GRA+PA {*574}
HT125,OLE-KI,1,0,0,1,0,0,complex_logogram,]OLE+KI {*618}
HT125,OLE-MI,1,0,0,1,0,0,complex_logogram,]OLE+MI {*622}
