id,form,maskKey,site,scribe,support,tokenIndex,exclusion_reasons,warning_classes
HT39,KU-RO,HT39	KU-RO,HAGHIA TRIADA,HT SCRIBE 12,TABLET,13,physical_boundary,
HT40,KU-RO,HT40	KU-RO,HAGHIA TRIADA,HT SCRIBE 2,TABLET,12,physical_boundary,
HT41A,QE-TU,HT41	QE-TU,HAGHIA TRIADA,HT SCRIBE 14,TABLET,4,physical_boundary,
HT46A,MU-RU,HT46	MU-RU,HAGHIA TRIADA,,TABLET,2,physical_boundary,
HT46A,KU-RO,HT46	KU-RO,HAGHIA TRIADA,,TABLET,5,physical_boundary,
HT47A,KI-DA-RO,HT47	KI-DA-RO,HAGHIA TRIADA,HT SCRIBE 14,TABLET,15,physical_boundary,
HT47A,MI-NU-MI,HT47	MI-NU-MI,HAGHIA TRIADA,HT SCRIBE 14,TABLET,19,physical_boundary,
HT47B,RA-NA-RE,HT47	RA-NA-RE,HAGHIA TRIADA,HT SCRIBE 14,TABLET,0,physical_boundary,
HT49A,TA-NA-TI,HT49	TA-NA-TI,HAGHIA TRIADA,,TABLET,5,physical_boundary,
HT49A,SI-RA,HT49	SI-RA,HAGHIA TRIADA,,TABLET,24,physical_boundary,
HT49B,I-KI,HT49	I-KI,HAGHIA TRIADA,,TABLET,4,physical_boundary,
HT51A,TI-NI,HT51	TI-NI,HAGHIA TRIADA,,TABLET,12,physical_boundary,
HT51B,KU-ME-TA,HT51	KU-ME-TA,HAGHIA TRIADA,,TABLET,0,physical_boundary,
HT51B,ZU-DU,HT51	ZU-DU,HAGHIA TRIADA,,TABLET,3,physical_boundary,
HT52A,DI-KA-KI,HT52	DI-KA-KI,HAGHIA TRIADA,HT SCRIBE 23,TABLET,7,physical_boundary,
HT53A,SA-NE,HT53	SA-NE,HAGHIA TRIADA,,TABLET,2,physical_boundary,
HT53B,KU-RE,HT53	KU-RE,HAGHIA TRIADA,,TABLET,8,physical_boundary,
HT54A,KU-MI-NA-QE,HT54	KU-MI-NA-QE,HAGHIA TRIADA,,TABLET,4,physical_boundary,
HT55A,KI-RO,HT55	KI-RO,HAGHIA TRIADA,,TABLET,0,physical_boundary,
HT55B,RI-JA,HT55	RI-JA,HAGHIA TRIADA,,TABLET,5,physical_boundary,
HT57A,DA-QE-RA,HT57	DA-QE-RA,HAGHIA TRIADA,HT SCRIBE 14,TABLET,0,physical_boundary,
HT58,U-KI,HT58	U-KI,HAGHIA TRIADA,HT SCRIBE 8,TABLET,15,physical_boundary,
HT61,MI-TI,HT61	MI-TI,HAGHIA TRIADA,,TABLET,2,physical_boundary,
HT64,KU-ZU-NA,HT64	KU-ZU-NA,HAGHIA TRIADA,HT SCRIBE 21,TABLET,2,physical_boundary,
HT64,RU-MA,HT64	RU-MA,HAGHIA TRIADA,HT SCRIBE 21,TABLET,7,physical_boundary,
HT66,TA-MI,HT66	TA-MI,HAGHIA TRIADA,HT SCRIBE 21,TABLET,10,physical_boundary,
HT67,KU-RO,HT67	KU-RO,HAGHIA TRIADA,HT SCRIBE 23,TABLET,4,physical_boundary,
HT69,MA-DI,HT69	MA-DI,HAGHIA TRIADA,,TABLET,7,physical_boundary,
HT74,KU-RO,HT74	KU-RO,HAGHIA TRIADA,HT SCRIBE 24,TABLET,4,physical_boundary,
HT75,KA-RU,HT75	KA-RU,HAGHIA TRIADA,,TABLET,0,physical_boundary,
HT80,JU-RA,HT80	JU-RA,HAGHIA TRIADA,HT SCRIBE 13,TABLET,2,physical_boundary,
HT81,RI-SU-MA,HT81	RI-SU-MA,HAGHIA TRIADA,,TABLET,6,physical_boundary,
HT84,NU-TI,HT84	NU-TI,HAGHIA TRIADA,,TABLET,2,physical_boundary,
HT85A,KU-RO,HT85	KU-RO,HAGHIA TRIADA,HT SCRIBE 9,TABLET,28,physical_boundary,
HT85B,TE-TU,HT85	TE-TU,HAGHIA TRIADA,HT SCRIBE 9,TABLET,12,physical_boundary,
HT86A,A-KA-RU,HT86	A-KA-RU,HAGHIA TRIADA,HT SCRIBE 6,TABLET,0,physical_boundary,
HT86A,KU-NI-SU,HT86	KU-NI-SU,HAGHIA TRIADA,HT SCRIBE 6,TABLET,3,physical_boundary,
HT86A,SA-RU,HT86	SA-RU,HAGHIA TRIADA,HT SCRIBE 6,TABLET,7,physical_boundary,
HT86B,DI-DE,HT86	DI-DE,HAGHIA TRIADA,HT SCRIBE 6,TABLET,10,physical_boundary,
HT87,A-RA,HT87	A-RA,HAGHIA TRIADA,HT SCRIBE 9,TABLET,20,physical_boundary,
HT87,A-TU,HT87	A-TU,HAGHIA TRIADA,HT SCRIBE 9,TABLET,22,physical_boundary,
HT93A,O-TI,HT93	O-TI,HAGHIA TRIADA,HT SCRIBE 5,TABLET,38,physical_boundary,
HT93A,PA-SE-JA,HT93	PA-SE-JA,HAGHIA TRIADA,HT SCRIBE 5,TABLET,51,physical_boundary,
HT93B,KI-RO,HT93	KI-RO,HAGHIA TRIADA,HT SCRIBE 5,TABLET,3,physical_boundary,
HT94B,DE-ME-TE,HT94	DE-ME-TE,HAGHIA TRIADA,HT SCRIBE 9,TABLET,26,physical_boundary,
HT96A,KU-MA-RO,HT96	KU-MA-RO,HAGHIA TRIADA,HT SCRIBE 8,TABLET,26,physical_boundary,
HT103,DA-KU-SE-NE,HT103	DA-KU-SE-NE,HAGHIA TRIADA,HT SCRIBE 3,TABLET,7,physical_boundary,
HT105,KA-PA,HT105	KA-PA,HAGHIA TRIADA,,TABLET,0,physical_boundary,
HT111A,QE-KA,HT111	QE-KA,HAGHIA TRIADA,,TABLET,4,physical_boundary,
HT111A,QA-SA,HT111	QA-SA,HAGHIA TRIADA,,TABLET,7,physical_boundary,
HT112A,TU-PA,HT112	TU-PA,HAGHIA TRIADA,HT SCRIBE 9,TABLET,2,physical_boundary,
HT113,RA-RI-DE,HT113	RA-RI-DE,HAGHIA TRIADA,,TABLET,0,physical_boundary,
HT113,WI-SA,HT113	WI-SA,HAGHIA TRIADA,,TABLET,2,physical_boundary,
HT115A,*301-U-RA,HT115	*301-U-RA,HAGHIA TRIADA,HT SCRIBE 8,TABLET,9,physical_boundary,
HT115A,RI-SU-MA,HT115	RI-SU-MA,HAGHIA TRIADA,HT SCRIBE 8,TABLET,26,physical_boundary,
HT115B,A-I,HT115	A-I,HAGHIA TRIADA,HT SCRIBE 8,TABLET,23,physical_boundary,
HT115B,KU-TA,HT115	KU-TA,HAGHIA TRIADA,HT SCRIBE 8,TABLET,29,physical_boundary,
HT122A,RA-RI,HT122	RA-RI,HAGHIA TRIADA,HT SCRIBE 9,TABLET,0,physical_boundary,
HT122B,A-RA-JU-U-DE-ZA,HT122	A-RA-JU-U-DE-ZA,HAGHIA TRIADA,HT SCRIBE 9,TABLET,9,physical_boundary,
HT123+124A,KI-RO,HT123+124	KI-RO,HAGHIA TRIADA,HT SCRIBE 6,TABLET,9,physical_boundary,
HT123+124A,KU-RO,HT123+124	KU-RO,HAGHIA TRIADA,HT SCRIBE 6,TABLET,47,physical_boundary,
HT123+124B,KA-NA,HT123+124	KA-NA,HAGHIA TRIADA,HT SCRIBE 6,TABLET,23,physical_boundary,
HT123+124B,SI-DU,HT123+124	SI-DU,HAGHIA TRIADA,HT SCRIBE 6,TABLET,25,physical_boundary,
HT126A,A-NA,HT126	A-NA,HAGHIA TRIADA,,TABLET,5,physical_boundary,
HT127A,DU-NE-MI,HT127	DU-NE-MI,HAGHIA TRIADA,,TABLET,2,physical_boundary,
HT128A,MI-TA,HT128	MI-TA,HAGHIA TRIADA,HT SCRIBE 9,TABLET,13,physical_boundary,
HT128A,MA-RI,HT128	MA-RI,HAGHIA TRIADA,HT SCRIBE 9,TABLET,25,physical_boundary,
HT130,KU-RO,HT130	KU-RO,HAGHIA TRIADA,HT SCRIBE 19,TABLET,12,physical_boundary,
HT131B,PO-TO-KU-RO,HT131	PO-TO-KU-RO,HAGHIA TRIADA,,TABLET,12,physical_boundary,
HT135A,NE-MI-NA,HT135	NE-MI-NA,HAGHIA TRIADA,HT SCRIBE 9,TABLET,2,physical_boundary,
HT135A,MI-TU,HT135	MI-TU,HAGHIA TRIADA,HT SCRIBE 9,TABLET,5,physical_boundary,
HT135A,MI-KA,HT135	MI-KA,HAGHIA TRIADA,HT SCRIBE 9,TABLET,8,physical_boundary,
HT135B,TA-NE,HT135	TA-NE,HAGHIA TRIADA,HT SCRIBE 9,TABLET,3,physical_boundary,
HT139,PU-MA-KU,HT139	PU-MA-KU,HAGHIA TRIADA,HT SCRIBE 5,TABLET,0,physical_boundary,
HT140,U-*34-SI,HT140	U-*34-SI,HAGHIA TRIADA,HT SCRIBE 8,TABLET,0,physical_boundary,
HT141,A-RI,HT141	A-RI,HAGHIA TRIADA,,TABLET,4,physical_boundary,
HT141,RU-DI,HT141	RU-DI,HAGHIA TRIADA,,TABLET,6,physical_boundary,
HT154A,TU-ME-PA-JA,HT154A	TU-ME-PA-JA,HAGHIA TRIADA,,TABLET,0,physical_boundary,
HTZB158A,TU-SE-SU-KI,HTZB158	TU-SE-SU-KI,HAGHIA TRIADA,,CLAY VESSEL,1,physical_boundary,
HTZB159,A-NA-NU-SI-JA-SE,HTZB159	A-NA-NU-SI-JA-SE,HAGHIA TRIADA,,CLAY VESSEL,0,physical_boundary,
HTZB161,SI-PU,HTZB161	SI-PU,HAGHIA TRIADA,,CLAY VESSEL,0,physical_boundary,
IOZA2,I-PI-NA-MA,IOZA2	I-PI-NA-MA,IOUKTAS,,STONE VESSEL,8,physical_boundary,
IOZA4,*301-WA,IOZA4	*301-WA,IOUKTAS,,STONE VESSEL,0,physical_boundary,
IOZA5,I-JA-RE-DI-JA,IOZA5	I-JA-RE-DI-JA,IOUKTAS,,STONE VESSEL,0,physical_boundary,
IOZA5,I-JA-PA,IOZA5	I-JA-PA,IOUKTAS,,STONE VESSEL,2,physical_boundary,
IOZA7,JA-TI-*321,IOZA7	JA-TI-*321,IOUKTAS,,STONE VESSEL,2,physical_boundary,
IOZA8,A-NA-TI-*301-WA-JA,IOZA8	A-NA-TI-*301-WA-JA,IOUKTAS,,STONE VESSEL,0,physical_boundary,
IOZB10,A-SA-SA-RA-ME,IOZB10	A-SA-SA-RA-ME,IOUKTAS,,CLAY VESSEL,0,physical_boundary,
IOZA11,DA-DA,IOZA11	DA-DA,IOUKTAS,,STONE VESSEL,2,physical_boundary,
IOZA11,U-TI-NU,IOZA11	U-TI-NU,IOUKTAS,,STONE VESSEL,5,physical_boundary,
IOZA11,I-NA-I-DA,IOZA11	I-NA-I-DA,IOUKTAS,,STONE VESSEL,7,editorial_continuation,
IOZA12,JA-SA,IOZA12	JA-SA,IOUKTAS,,STONE VESSEL,2,editorial_continuation,
IOZA12,SA-RA-ME,IOZA12	SA-RA-ME,IOUKTAS,,STONE VESSEL,4,editorial_continuation,
IOZA12,I-TI,IOZA12	I-TI,IOUKTAS,,STONE VESSEL,6,physical_boundary,
IOZA13,MA-I,IOZA13	MA-I,IOUKTAS,,STONE VESSEL,1,physical_boundary,
IOZA14,I-DI,IOZA14	I-DI,IOUKTAS,,STONE VESSEL,2,physical_boundary,
IOZA15,I-PI-NA-MA,IOZA15	I-PI-NA-MA,IOUKTAS,,STONE VESSEL,0,physical_boundary,
IOZA16,JA-SA-SA-RA,IOZA16	JA-SA-SA-RA,IOUKTAS,,STONE VESSEL,2,editorial_continuation,
KE1,KA-SA,KE1	KA-SA,KEA,,TABLET,0,physical_boundary,
KH4,A-DU-RE,KH4	A-DU-RE,KHANIA,KH SCRIBE 2,TABLET,0,physical_boundary,
KH6,DI-SI,KH6	DI-SI,KHANIA,KH SCRIBE 2,TABLET,3,physical_boundary,
KH6,TE-NU-RE,KH6	TE-NU-RE,KHANIA,KH SCRIBE 2,TABLET,5,physical_boundary,
KH6,KI-SA-NE,KH6	KI-SA-NE,KHANIA,KH SCRIBE 2,TABLET,7,physical_boundary,
KH6,PI-SA,KH6	PI-SA,KHANIA,KH SCRIBE 2,TABLET,38,physical_boundary,
KH7A,KO-E,KH7	KO-E,KHANIA,KH SCRIBE 2,TABLET,38,physical_boundary,
KH7B,PA-NA-TU,KH7	PA-NA-TU,KHANIA,KH SCRIBE 2,TABLET,8,physical_boundary,
KH9,I-SI,KH9	I-SI,KHANIA,KH SCRIBE 1,TABLET,11,physical_boundary,
KH11,A-DU,KH11	A-DU,KHANIA,KH SCRIBE 2,TABLET,0,physical_boundary,
KH13,A-SE-RE-ZA,KH13	A-SE-RE-ZA,KHANIA,KH SCRIBE 1,TABLET,5,physical_boundary,
KH13,DA-I,KH13	DA-I,KHANIA,KH SCRIBE 1,TABLET,14,physical_boundary,
KH16,U-TA-I-SI,KH16	U-TA-I-SI,KHANIA,KH SCRIBE 1,TABLET,5,physical_boundary,
KH18,I-KU-PI,KH18	I-KU-PI,KHANIA,KH SCRIBE 1,TABLET,6,physical_boundary,
KH20,DU-RE-ZA,KH20	DU-RE-ZA,KHANIA,KH SCRIBE 3,TABLET,10,physical_boundary,
KH21,*306-QE-DU,KH21	*306-QE-DU,KHANIA,,TABLET,10,physical_boundary,
KH23,A-DU,KH23	A-DU,KHANIA,KH SCRIBE 2,TABLET,0,physical_boundary,
KH29,KU-PA,KH29	KU-PA,KHANIA,KH SCRIBE 1,TABLET,6,physical_boundary,
KH39,A-TA,KH39	A-TA,KHANIA,KH SCRIBE 3,TABLET,0,physical_boundary,
KH40,SI-NA,KH40	SI-NA,KHANIA,KH SCRIBE 1,TABLET,2,physical_boundary,
KH41,KA-TA-RE,KH41	KA-TA-RE,KHANIA,,TABLET,2,physical_boundary,
KH47,QA-NE,KH47	QA-NE,KHANIA,,TABLET,2,physical_boundary,
KH51,SI-I-SI,KH51	SI-I-SI,KHANIA,KH SCRIBE 4,TABLET,0,physical_boundary,
KH52,TA-U,KH52	TA-U,KHANIA,,TABLET,4,physical_boundary,
KH58,A-*301,KH58	A-*301,KHANIA,KH SCRIBE 1,TABLET,21,physical_boundary,
KH59,DI-NA,KH59	DI-NA,KHANIA,,TABLET,7,physical_boundary,
KH60,RA-KI-TA-NA-SI,KH60	RA-KI-TA-NA-SI,KHANIA,KH SCRIBE 1,TABLET,0,physical_boundary,
KH74,JA-DA-SU,KH74	JA-DA-SU,KHANIA,,TABLET,2,physical_boundary,
KH79+89,MI-NA,KH79+89	MI-NA,KHANIA,,TABLET,0,physical_boundary,
KH79+89,PA-TA,KH79+89	PA-TA,KHANIA,,TABLET,2,physical_boundary,
KH79+89,A-RA,KH79+89	A-RA,KHANIA,,TABLET,4,physical_boundary,
KH79+89,PA-DA-NI,KH79+89	PA-DA-NI,KHANIA,,TABLET,6,physical_boundary,
KH83,A-DI-NE,KH83	A-DI-NE,KHANIA,,TABLET,3,physical_boundary,
KH86,RE-ZA,KH86	RE-ZA,KHANIA,KH SCRIBE 2,TABLET,0,physical_boundary,
KH86,PI-NU,KH86	PI-NU,KHANIA,KH SCRIBE 2,TABLET,6,physical_boundary,
KH90,MA-TA-RI-TA,KH90	MA-TA-RI-TA,KHANIA,,TABLET,5,physical_boundary,
KH92,NA-KI,KH92	NA-KI,KHANIA,,TABLET,5,physical_boundary,
KH94,QA-PU,KH94	QA-PU,KHANIA,,TABLET,2,complex_logogram,
KH97B,SE-I,KH97	SE-I,KHANIA,,TABLET,0,physical_boundary,
KH99,PA-RI-DE,KH99	PA-RI-DE,KHANIA,,TABLET,0,physical_boundary,
KH99,A-SI-*118,KH99	A-SI-*118,KHANIA,,TABLET,2,physical_boundary,
KH99,KU-KA,KH99	KU-KA,KHANIA,,TABLET,4,physical_boundary,
KN2,RU-NA,KN2	RU-NA,KNOSSOS,,TABLET,0,physical_boundary,
KN22A,SU-JU-TA,KN22	SU-JU-TA,KNOSSOS,,LAMES (SHORT THIN TABLET),0,physical_boundary,
KN22A,KA-JE,KN22	KA-JE,KNOSSOS,,LAMES (SHORT THIN TABLET),3,physical_boundary,
KN32A,A-PA,KN32	A-PA,KNOSSOS,,TABLET,2,physical_boundary,
KN32A,A-KA-TA,KN32	A-KA-TA,KNOSSOS,,TABLET,4,physical_boundary,
KN32B,SA-PU,KN32	SA-PU,KNOSSOS,,TABLET,4,physical_boundary,
KN32B,JA-SU,KN32	JA-SU,KNOSSOS,,TABLET,8,physical_boundary,
KN54,PU-RA,KN54	PU-RA,KNOSSOS,,TABLET,2,physical_boundary,
KNWB33,QA-KI,KNWB33	QA-KI,KNOSSOS,,SEALING,0,physical_boundary,
KNWB33,NU-SE,KNWB33	NU-SE,KNOSSOS,,SEALING,2,physical_boundary,
KNWC3,KA-I-KA,KNWC3	KA-I-KA,KNOSSOS,,ROUNDEL,0,physical_boundary,
KNWC30,JA-RA,KNWC30	JA-RA,KNOSSOS,,ROUNDEL,0,physical_boundary,
KNZA10,TA-NU-MU-TI,KNZA10	TA-NU-MU-TI,KNOSSOS,,STONE VESSEL,0,physical_boundary,
KNZA10,JA-SA-SA-RA-MA,KNZA10	JA-SA-SA-RA-MA,KNOSSOS,,STONE VESSEL,2,editorial_continuation,
KNZA10,DA-WA,KNZA10	DA-WA,KNOSSOS,,STONE VESSEL,6,physical_boundary,
KNZA10,DU-WA-TO,KNZA10	DU-WA-TO,KNOSSOS,,STONE VESSEL,8,physical_boundary,
KNZA10,I-JA,KNZA10	I-JA,KNOSSOS,,STONE VESSEL,10,physical_boundary,
KNZA17,JA-QE,KNZA17	JA-QE,KNOSSOS,,STONE VESSEL,0,physical_boundary,
KNZA18,JA-WA,KNZA18	JA-WA,KNOSSOS,,STONE VESSEL,7,physical_boundary,
KNZA19,KE-JU-MI,KNZA19	KE-JU-MI,KNOSSOS,,STONE VESSEL,0,physical_boundary,
KNZA19,*118-MI-NA,KNZA19	*118-MI-NA,KNOSSOS,,STONE VESSEL,5,physical_boundary,
KNZC7,WI-PI,KNZC7	WI-PI,KNOSSOS,,INKED INSCRIPTION,9,editorial_continuation|physical_boundary,
MA2A,DU-RA,MA2	DU-RA,MALIA,,3-SIDED BAR,0,physical_boundary,
MA2B,RE-TI,MA2	RE-TI,MALIA,,3-SIDED BAR,0,physical_boundary,
MA10B,DU-PI-TE-WA,MA10	DU-PI-TE-WA,MALIA,,4-SIDED BAR,0,physical_boundary,
MAZB8,JA-SA,MAZB8	JA-SA,MALIA,,CLAY VESSEL,0,physical_boundary,
MI2,DU-KA,MI2	DU-KA,MILOS,,TABLET,4,physical_boundary,
NEZA1,I-DA,NEZA1	I-DA,NEROKUROU,,STONE VESSEL,0,physical_boundary,
PE1,E-KA,PE1	E-KA,PETRAS,,TABLET,10,physical_boundary,
PEZB,A-NU,PEZB	A-NU,PETRAS,,CLAY VESSEL,0,physical_boundary,
PEZC4,A-JA,PEZC4	A-JA,PETRAS,,INKED INSCRIPTION,0,physical_boundary,
PEZC4,JA-SI,PEZC4	JA-SI,PETRAS,,INKED INSCRIPTION,2,physical_boundary,
PEZG6,I-NA,PEZG6	I-NA,PETRAS,,STONE OBJECT,0,physical_boundary,
PH1A,DI-RA-DI-NA,PH1	DI-RA-DI-NA,PHAISTOS,,TABLET,0,physical_boundary,
PH7A,DI-PA-JA,PH7	DI-PA-JA,PHAISTOS,,TABLET,2,physical_boundary,
PH7A,U-DI-RI-KI,PH7	U-DI-RI-KI,PHAISTOS,,TABLET,4,physical_boundary,
PH7A,JA-RU-MA-NE,PH7	JA-RU-MA-NE,PHAISTOS,,TABLET,6,physical_boundary,
PH7A,JA-SI-DA-RA,PH7	JA-SI-DA-RA,PHAISTOS,,TABLET,8,physical_boundary,
PH7B,DA-RA,PH7	DA-RA,PHAISTOS,,TABLET,6,physical_boundary,
PH14A,JA-*304,PH14	JA-*304,PHAISTOS,,LAMES (SHORT THIN TABLET),0,physical_boundary,
PH14B,A-MI,PH14	A-MI,PHAISTOS,,LAMES (SHORT THIN TABLET),0,physical_boundary,
PH15A,MA-TE-RE,PH15	MA-TE-RE,PHAISTOS,,LAMES (SHORT THIN TABLET),0,physical_boundary,
PH16A,TI-NA,PH16	TI-NA,PHAISTOS,,LAMES (SHORT THIN TABLET),0,physical_boundary,
PH16A,*358-NI,PH16	*358-NI,PHAISTOS,,LAMES (SHORT THIN TABLET),4,physical_boundary,
PH16B,JA-SA,PH16	JA-SA,PHAISTOS,,LAMES (SHORT THIN TABLET),0,physical_boundary,
PH18A,WI-JA,PH18	WI-JA,PHAISTOS,,TABLET,0,physical_boundary,
PH19,PI-O,PH19	PI-O,PHAISTOS,,TABLET,0,physical_boundary,
PH28A,A-RI-JA,PH28	A-RI-JA,PHAISTOS,,TABLET,8,physical_boundary,
PH30,MA-RE-RI-MI-DE,PH30	MA-RE-RI-MI-DE,PHAISTOS,,TABLET,5,physical_boundary,
PH(?)31A,PA-TA-DA,PH(?)31	PA-TA-DA,PHAISTOS,,TABLET,22,physical_boundary,
PH(?)31B,DU-RI,PH(?)31	DU-RI,PHAISTOS,,TABLET,8,physical_boundary,
PK1,NE-TI,PK1	NE-TI,PALAIKASTRO,,TABLET,2,physical_boundary,
PKZA4,A-SA-SA-RA,PKZA4	A-SA-SA-RA,PALAIKASTRO,,STONE VESSEL,0,physical_boundary,
PKZA8,I-PI,PKZA8	I-PI,PALAIKASTRO,,STONE VESSEL,10,physical_boundary,
PKZA9,JA-U-PA-MA-I-DA,PKZA9	JA-U-PA-MA-I-DA,PALAIKASTRO,,STONE VESSEL,2,physical_boundary,
PKZA11,A-DI-KI-TE-TE,PKZA11	A-DI-KI-TE-TE,PALAIKASTRO,,STONE VESSEL,2,physical_boundary,
PKZA11,I-PI-NA-MI-NA,PKZA11	I-PI-NA-MI-NA,PALAIKASTRO,,STONE VESSEL,19,physical_boundary,
PKZA11,SI-RU,PKZA11	SI-RU,PALAIKASTRO,,STONE VESSEL,20,physical_boundary,
PKZA12,A-DI-KI-TE,PKZA12	A-DI-KI-TE,PALAIKASTRO,,STONE VESSEL,2,physical_boundary,
PKZA12,RA-ME,PKZA12	RA-ME,PALAIKASTRO,,STONE VESSEL,9,physical_boundary,
PKZA12,A-NE,PKZA12	A-NE,PALAIKASTRO,,STONE VESSEL,10,physical_boundary,
PKZA12,A-PA-DU-PA,PKZA12	A-PA-DU-PA,PALAIKASTRO,,STONE VESSEL,12,physical_boundary,
PKZA12,JA-PA-QA,PKZA12	JA-PA-QA,PALAIKASTRO,,STONE VESSEL,14,physical_boundary,
PKZA14,TU-ME,PKZA14	TU-ME,PALAIKASTRO,,STONE VESSEL,0,editorial_continuation,
PKZA14,JA-SA-SA,PKZA14	JA-SA-SA,PALAIKASTRO,,STONE VESSEL,4,physical_boundary,
PKZA16,TO-SA,PKZA16	TO-SA,PALAIKASTRO,,STONE VESSEL,0,physical_boundary,
PKZA16,RE-JA,PKZA16	RE-JA,PALAIKASTRO,,STONE VESSEL,4,editorial_continuation|physical_boundary,
PKZA17,I-DA,PKZA17	I-DA,PALAIKASTRO,,STONE VESSEL,0,physical_boundary,
PKZA18,JA-JA,PKZA18	JA-JA,PALAIKASTRO,,STONE VESSEL,4,physical_boundary,
PKZA20,U-NA-KA,PKZA20	U-NA-KA,PALAIKASTRO,,STONE VESSEL,0,physical_boundary,
PKZB19,SE-SI-TA,PKZB19	SE-SI-TA,PALAIKASTRO,,CLAY VESSEL,0,physical_boundary,
PKZC13,NU-RI-JA,PKZC13	NU-RI-JA,PALAIKASTRO,,INKED INSCRIPTION,0,physical_boundary,
PSZA2,RE-I-KE,PSZA2	RE-I-KE,PSYKHRO,PS SCRIBE 1,STONE VESSEL,0,physical_boundary,
PSIZA1,*188-DU-SE,PSIZA1	*188-DU-SE,PSYKHRO,,STONE VESSEL,0,physical_boundary,
PYRWC4,I-SI,PYRWC4	I-SI,PYRGOS,,ROUNDEL,2,physical_boundary,
PYRZB5,TE-JA,PYRZB5	TE-JA,PYRGOS,,CLAY VESSEL,0,physical_boundary,
SAMWA1,JA-SA,SAMWA1	JA-SA,SAMOTHRACE,,NODULE,0,non_linear_a_script,
