side,rank,sign,score,boundary_count,internal_count,boundary_enrichment_log2,exact_extension_pairs,pair_sites,pair_scribes,pair_attestations,examples
suffix,22,TU,2.698853,24,18,0.349167,2,5,3,7,A-RA ~ A-RA-TU | SI-TE ~ SI-TE-TU
suffix,23,PA,2.664995,24,23,0.004031,3,6,2,11,KA-KU ~ KA-KU-PA | I-JA ~ I-JA-PA | A-RI ~ A-RI-PA
suffix,24,*308,2.662079,2,0,2.265838,0,0,0,0,
suffix,25,*331,2.662079,2,0,2.265838,0,0,0,0,
suffix,26,*86,2.662079,2,0,2.265838,0,0,0,0,
suffix,27,ZA,2.591177,21,12,0.726319,1,4,6,11,A-DU ~ A-DU-ZA
suffix,28,MI,2.577630,32,35,-0.183469,3,7,4,10,JA-RE ~ JA-RE-MI | MA-I ~ MA-I-MI | I-DA ~ I-DA-MI
suffix,29,RU,2.558731,36,33,0.067646,2,2,1,6,KA-SA ~ KA-SA-RU | DI-DE ~ DI-DE-RU
suffix,30,*350,2.528873,1,0,1.528873,1,1,2,2,A-TA ~ A-TA-*350
suffix,31,PU,2.501926,8,2,1.709445,0,0,0,0,
suffix,32,*305,2.464620,5,1,1.818380,0,0,0,0,
suffix,33,TA,2.386135,36,63,-0.854950,5,6,4,12,TI-NI ~ TI-NI-TA | RU-MA ~ RU-MA-TA | KI-DA ~ KI-DA-TA | SE-SI ~ SE-SI-TA | A-MI ~ A-MI-TA
suffix,34,NU,2.027455,22,26,-0.292157,2,3,4,11,KU-PA₃ ~ KU-PA₃-NU | U-TI ~ U-TI-NU
suffix,35,QE,1.963114,9,9,-0.056090,2,1,5,12,KA-PA ~ KA-PA-QE | SA-RO ~ SA-RO-QE
suffix,36,SI,1.957280,36,37,-0.095084,1,4,0,5,U-NA-KA-NA ~ U-NA-KA-NA-SI
suffix,37,DU,1.926736,25,24,0.001626,1,1,1,2,MA-SI ~ MA-SI-DU
suffix,38,DI,1.859450,26,36,-0.517994,2,4,1,5,SA-RA ~ SA-RA-DI | A-PA₃ ~ A-PA₃-DI
suffix,39,DE,1.843617,12,14,-0.270214,2,3,2,4,RA-RI ~ RA-RI-DE | A-TA ~ A-TA-DE
suffix,40,*22M,1.778873,1,0,1.528873,0,0,0,0,
suffix,41,*28B,1.778873,1,0,1.528873,0,0,0,0,
suffix,42,*304,1.778873,1,0,1.528873,0,0,0,0,
suffix,43,*312,1.778873,1,0,1.528873,0,0,0,0,
suffix,44,*317,1.778873,1,0,1.528873,0,0,0,0,
suffix,45,*329,1.778873,1,0,1.528873,0,0,0,0,
suffix,46,*344,1.778873,1,0,1.528873,0,0,0,0,
suffix,47,*345,1.778873,1,0,1.528873,0,0,0,0,
suffix,48,*351,1.778873,1,0,1.528873,0,0,0,0,
suffix,49,*353,1.778873,1,0,1.528873,0,0,0,0,
suffix,50,*354,1.778873,1,0,1.528873,0,0,0,0,
suffix,51,*361,1.778873,1,0,1.528873,0,0,0,0,
suffix,52,*362,1.778873,1,0,1.528873,0,0,0,0,
suffix,53,*363,1.778873,1,0,1.528873,0,0,0,0,
suffix,54,*516,1.778873,1,0,1.528873,0,0,0,0,
suffix,55,*82,1.778873,1,0,1.528873,0,0,0,0,
